product_name,sales,price,reorder_quantity,stock_level,holding_cost,Production_cost,currency_fluctuation,stockout,timestamp
Instant Porridge,39,16.08,44,123,4,7.11,-0.77,0,18/9/2024
Biscuits,52,11.1,54,144,0.94,7.96,-1.47,0,18/9/2024
Water,43,14.07,50,106,4.82,5.32,-1.92,1,17/9/2024
Sauces and Soups,46,11.55,50,486,0.52,5.93,0.38,0,17/9/2024
Instant Porridge,62,13.69,69,193,4.12,3.62,1.31,1,17/9/2024
Biscuits,53,2.89,62,119,1.95,8.19,-1,0,17/9/2024
Water,52,7.84,56,30,1.33,1.98,0.61,1,16/9/2024
Sauces and Soups,41,15.58,42,249,4.9,5.56,-1.48,1,16/9/2024
Instant Porridge,53,4.22,60,98,2.85,3.46,-0.23,0,16/9/2024
Biscuits,37,10.69,42,294,3.01,2.53,-0.4,1,16/9/2024
Water,54,6.95,57,438,3.49,5.73,0.67,1,15/9/2024
Sauces and Soups,61,3.2,66,374,2.88,6.36,-0.33,0,15/9/2024
Instant Porridge,37,14.85,42,37,2.16,2.2,0.03,0,15/9/2024
Biscuits,39,7.83,45,245,4.01,3.21,-1.49,0,15/9/2024
Water,47,12.7,56,485,4.49,5.19,1.38,0,14/9/2024
Sauces and Soups,46,10.33,47,68,1.05,9.89,-1.96,0,14/9/2024
Instant Porridge,49,15.67,49,451,2.5,1.12,-0.72,0,14/9/2024
Biscuits,46,8.01,47,280,2.41,9.28,-0.19,1,14/9/2024
Water,47,16.31,47,31,1.03,5.12,-0.69,1,13/9/2024
Sauces and Soups,58,12.95,58,413,4.62,1,1.71,0,13/9/2024
Instant Porridge,57,2.73,64,142,2.77,1.54,-1.92,1,13/9/2024
Biscuits,43,14.47,49,286,3.85,8.79,-1.43,1,13/9/2024
Water,45,16.94,50,223,1.08,4.75,0.85,1,12/9/2024
Sauces and Soups,42,15.88,49,100,4.46,9.4,0.22,1,12/9/2024
Instant Porridge,51,5.53,58,311,1.5,1.83,-1.28,0,12/9/2024
Biscuits,38,6.92,41,486,0.52,8.41,0.86,1,12/9/2024
Water,60,19.18,69,294,1.53,9.11,-0.45,1,11/9/2024
Sauces and Soups,54,1.08,61,17,3.45,9.72,-1.36,0,11/9/2024
Instant Porridge,46,13.89,46,292,4.47,4.67,-1.73,0,11/9/2024
Biscuits,58,16.13,58,319,1.82,1.07,1.1,0,11/9/2024
Water,52,4.12,59,273,3.85,3.54,1.26,0,10/9/2024
Sauces and Soups,61,14.28,64,407,1.02,4.9,0.64,0,10/9/2024
Instant Porridge,45,18.98,47,485,3.91,5.55,1.08,0,10/9/2024
Biscuits,43,3.38,45,72,4.14,8.93,0.41,1,10/9/2024
Water,43,6.7,48,116,3.82,3.19,1.4,0,9/9/2024
Sauces and Soups,57,1.12,59,352,2.28,8.4,-0.11,0,9/9/2024
Instant Porridge,48,10.05,49,244,1.91,2.05,0.28,1,9/9/2024
Biscuits,53,10.92,55,339,4.87,7.08,-0.6,1,9/9/2024
Water,49,14.32,55,257,2.41,1.14,-0.24,0,8/9/2024
Sauces and Soups,53,16.42,59,483,4.17,2.27,-1.31,0,8/9/2024
Instant Porridge,55,7.43,56,144,3.45,2.61,0.35,0,8/9/2024
Biscuits,53,1.41,60,324,3.23,6.1,-1.46,0,8/9/2024
Water,50,4.37,59,77,4.04,9.16,-1.52,0,7/9/2024
Sauces and Soups,54,16.34,56,179,1.19,2.08,1.45,1,7/9/2024
Instant Porridge,51,12.21,56,331,1.13,7.03,-1.76,1,7/9/2024
Biscuits,48,3.06,54,92,3.15,7.37,-0.02,0,7/9/2024
Water,54,16.04,56,489,2.71,1.66,-0.17,1,6/9/2024
Sauces and Soups,50,14.67,50,42,2.27,9.01,0.3,1,6/9/2024
Instant Porridge,51,15.5,55,411,4.71,7.9,0.94,0,6/9/2024
Biscuits,59,11.76,66,39,4.52,5.52,-0.49,1,6/9/2024
Water,54,14.17,54,77,2.57,3.89,-0.38,1,5/9/2024
Sauces and Soups,64,9.79,68,334,4.76,8.52,0.68,1,5/9/2024
Instant Porridge,36,2.22,42,11,4.96,8.06,-0.24,1,5/9/2024
Biscuits,46,1.62,47,93,2.26,6.99,-0.65,1,5/9/2024
Water,46,9.48,55,439,1.72,9.22,-0.87,1,4/9/2024
Sauces and Soups,50,17.31,56,147,2.84,8.95,1.96,0,4/9/2024
Instant Porridge,54,19.66,58,419,3.87,5.01,-0.37,0,4/9/2024
Biscuits,48,7.26,48,147,4.09,9.15,-0.82,1,4/9/2024
Water,59,1.31,61,183,1.29,7.17,1.8,1,3/9/2024
Sauces and Soups,35,3.66,39,428,3.83,4.56,-1.71,0,3/9/2024
Instant Porridge,44,18.23,52,177,4.53,5.01,0.06,0,3/9/2024
Biscuits,45,17.19,53,51,4.64,9.5,-0.08,1,3/9/2024
Water,38,12.12,40,160,1.93,4.18,1.85,1,2/9/2024
Sauces and Soups,59,10.35,64,410,4.92,1.44,0.39,1,2/9/2024
Instant Porridge,52,10.96,54,204,1.64,3.61,-0.06,0,2/9/2024
Biscuits,67,16.36,71,165,1.11,4.31,1.31,0,2/9/2024
Water,63,16.93,68,12,1.05,5.19,-0.33,1,1/9/2024
Sauces and Soups,42,13.59,47,72,2.86,6.86,-0.55,0,1/9/2024
Instant Porridge,47,6.05,55,157,2.84,9.5,0.39,1,1/9/2024
Biscuits,47,10.13,56,53,3.63,1.3,-1.09,0,1/9/2024
Water,34,19.31,40,268,0.65,1.58,0,1,31/8/2024
Sauces and Soups,48,5.68,52,456,3.22,7.81,-0.96,1,31/8/2024
Instant Porridge,50,14.78,50,416,1.44,7.84,-1.6,0,31/8/2024
Biscuits,55,19.71,59,164,4.15,6.25,1.24,1,31/8/2024
Water,40,4.16,47,379,0.52,8.9,-0.91,0,30/8/2024
Sauces and Soups,55,10.97,55,285,2.43,9.78,1.9,1,30/8/2024
Instant Porridge,60,6.15,64,137,2.53,7.61,0.38,0,30/8/2024
Biscuits,33,18.55,40,393,2.53,2.2,-1.99,1,30/8/2024
Water,47,19.47,49,350,1.01,6.05,-0.48,0,29/8/2024
Sauces and Soups,46,1.68,50,288,2.83,3.42,0.62,0,29/8/2024
Instant Porridge,61,8.08,63,373,3.84,8.7,0.32,0,29/8/2024
Biscuits,46,11.24,46,396,4.94,8,1.95,1,29/8/2024
Water,46,1.51,53,274,3,9.29,-0.13,1,28/8/2024
Sauces and Soups,51,15.72,51,146,2.76,8.61,-1.36,0,28/8/2024
Instant Porridge,39,16.91,48,332,3.43,3.03,1.3,0,28/8/2024
Biscuits,42,8.16,45,395,3.84,4.96,0.15,0,28/8/2024
Water,60,15.73,63,19,3.97,9.61,-0.39,0,27/8/2024
Sauces and Soups,52,10.97,53,422,3.96,3.4,-1.59,1,27/8/2024
Instant Porridge,43,18.18,47,330,0.93,1.17,-0.8,0,27/8/2024
Biscuits,47,5.05,47,44,1.86,6.9,0.55,1,27/8/2024
Water,59,19.01,61,289,2.63,3.78,-0.2,1,26/8/2024
Sauces and Soups,55,18.78,57,372,4.26,2.86,0.78,1,26/8/2024
Instant Porridge,29,6.09,34,5,3.46,2,-1.4,0,26/8/2024
Biscuits,60,10.23,68,207,4.11,3.55,-0.37,1,26/8/2024
Water,43,7.66,46,4,1.47,7.23,1.35,0,25/8/2024
Sauces and Soups,54,15.19,61,368,3.58,5.31,1.08,1,25/8/2024
Instant Porridge,58,1.25,58,34,4.88,9.71,0.98,0,25/8/2024
Biscuits,50,10.61,51,129,4.67,1.62,0.53,1,25/8/2024
Water,47,4.26,49,89,4.6,6.83,-0.8,1,24/8/2024
Sauces and Soups,40,1.19,47,422,4.35,9.24,1.95,1,24/8/2024
Instant Porridge,42,5.77,42,27,2.05,7.19,-1.16,1,24/8/2024
Biscuits,43,13.96,43,432,2.25,4.27,1.33,1,24/8/2024
Water,49,12.74,53,38,3.93,2.96,0.33,0,23/8/2024
Sauces and Soups,52,15.68,57,12,2.11,8.23,1.97,0,23/8/2024
Instant Porridge,44,14.4,45,228,2.89,8.74,1.68,1,23/8/2024
Biscuits,40,6.33,43,222,0.97,1.42,-0.58,1,23/8/2024
Water,66,11.62,75,349,1.14,7.75,1.8,0,22/8/2024
Sauces and Soups,42,13.74,44,262,4.26,2.1,-1.79,1,22/8/2024
Instant Porridge,50,16.58,59,391,4.99,7.77,-0.61,0,22/8/2024
Biscuits,42,6.52,48,226,0.54,7.54,-0.71,0,22/8/2024
Water,42,16.13,45,298,3.41,6.24,-0.63,0,21/8/2024
Sauces and Soups,61,12.33,69,131,3.07,6.87,0.95,0,21/8/2024
Instant Porridge,54,11,58,383,3.21,8.92,-1.26,0,21/8/2024
Biscuits,61,19.79,69,40,3.11,8.42,1.57,0,21/8/2024
Water,43,4.63,49,208,1.95,5.43,-1.87,0,20/8/2024
Sauces and Soups,56,17.76,56,17,3.76,9.59,-1.28,0,20/8/2024
Instant Porridge,63,7.09,71,153,4.72,4.49,0.72,1,20/8/2024
Biscuits,46,19.89,47,106,4.34,3.16,1.27,1,20/8/2024
Water,67,12.32,68,348,2.74,6.75,1.76,1,19/8/2024
Sauces and Soups,57,8.08,65,86,4.68,4.06,0.67,0,19/8/2024
Instant Porridge,51,5.99,54,225,2.04,5.61,0.25,0,19/8/2024
Biscuits,59,1.99,65,154,1.51,5.98,-0.73,0,19/8/2024
Water,48,14.78,50,60,3.6,6.45,1.99,1,18/8/2024
Sauces and Soups,63,14.84,68,98,3.66,9.6,-1.81,1,18/8/2024
Instant Porridge,62,17.07,69,281,4.3,1.98,1.79,0,18/8/2024
Biscuits,63,6.77,71,87,0.79,1.24,-0.49,1,18/8/2024
Water,51,5.43,54,64,3.65,7.45,0.95,1,17/8/2024
Sauces and Soups,50,12.45,55,215,1.87,3.82,-0.51,0,17/8/2024
Instant Porridge,48,4.75,54,35,4.59,8.5,-0.2,0,17/8/2024
Biscuits,36,11.89,38,437,4.88,2.45,0.7,0,17/8/2024
Water,48,18.46,55,166,4.62,9.73,-0.6,0,16/8/2024
Sauces and Soups,56,7.6,63,179,1.7,2.24,-1.95,1,16/8/2024
Instant Porridge,50,4.58,50,176,4.1,9.18,-0.72,0,16/8/2024
Biscuits,58,13.24,58,89,1.32,6.38,1.13,0,16/8/2024
Water,55,18.21,58,200,3.55,6.64,-1.65,1,15/8/2024
Sauces and Soups,52,2.75,52,243,2.4,8.93,-1.15,1,15/8/2024
Instant Porridge,41,19.73,44,270,3.92,6.14,0.59,1,15/8/2024
Biscuits,58,16.77,58,466,0.61,1.35,0.5,1,15/8/2024
Water,46,3.01,49,173,2.31,8.63,-0.56,0,14/8/2024
Sauces and Soups,42,8.38,47,122,4.21,5.94,-1.22,1,14/8/2024
Instant Porridge,56,18.76,60,454,2.29,7.77,0.24,1,14/8/2024
Biscuits,46,15.05,46,57,1.73,7.34,1.39,1,14/8/2024
Water,51,2.94,57,193,2.42,7.59,-1,0,13/8/2024
Sauces and Soups,40,4.31,46,366,2.45,8.01,-0.02,0,13/8/2024
Instant Porridge,46,15.86,49,318,1.51,2.66,-1.74,0,13/8/2024
Biscuits,45,9.9,50,176,3.22,3.05,-0.64,1,13/8/2024
Water,44,5.91,45,191,4.96,5.6,0.7,1,12/8/2024
Sauces and Soups,59,5.93,66,316,4.47,7.37,0.92,0,12/8/2024
Instant Porridge,44,10.9,48,288,4.23,6.56,-1.15,0,12/8/2024
Biscuits,59,4.9,65,370,1.4,2.67,1.42,0,12/8/2024
Water,46,19.29,49,90,4.77,9.1,-1.87,1,11/8/2024
Sauces and Soups,43,17.3,48,494,2.94,5.98,-1.24,1,11/8/2024
Instant Porridge,59,13.8,67,55,4.48,3.78,-0.51,0,11/8/2024
Biscuits,51,5.03,59,464,3.82,7.84,1.94,0,11/8/2024
Water,45,2.39,53,85,0.94,3.07,0.82,1,10/8/2024
Sauces and Soups,32,7.36,40,45,3.62,6.38,1.66,0,10/8/2024
Instant Porridge,47,2.23,52,13,3.08,1.94,0.05,1,10/8/2024
Biscuits,48,6.47,57,65,1.48,3.07,1.77,1,10/8/2024
Water,63,18.13,71,426,1.61,7.88,-0.82,0,9/8/2024
Sauces and Soups,59,19.88,64,283,0.84,1.95,1.1,1,9/8/2024
Instant Porridge,57,8.51,64,432,3.1,3.48,1.9,0,9/8/2024
Biscuits,54,14.64,55,278,2.69,7.32,1.91,1,9/8/2024
Water,49,18.52,52,369,1.22,1.78,-1.56,0,8/8/2024
Sauces and Soups,52,17.44,52,102,0.55,4.07,-1.14,1,8/8/2024
Instant Porridge,49,9.77,54,136,4.83,9.69,0.09,1,8/8/2024
Biscuits,59,7.83,65,479,2.54,8.1,-1.18,0,8/8/2024
Water,50,15.78,51,203,0.82,8.35,0.18,0,7/8/2024
Sauces and Soups,46,13.63,53,224,2.19,4.41,-1.61,0,7/8/2024
Instant Porridge,52,10.59,58,194,0.77,2.08,1.27,1,7/8/2024
Biscuits,53,15.92,62,181,4.91,3.58,-1.5,0,7/8/2024
Water,40,5.89,48,9,4.36,9.69,-0.74,1,6/8/2024
Sauces and Soups,44,5.79,48,323,3.79,4.95,-0.92,0,6/8/2024
Instant Porridge,60,10.12,63,399,0.79,2.05,1.54,1,6/8/2024
Biscuits,58,14.51,63,323,0.55,8.15,0.07,1,6/8/2024
Water,54,8.36,61,455,0.84,4.95,-0.25,1,5/8/2024
Sauces and Soups,53,4.15,61,241,1.54,1.34,1.91,0,5/8/2024
Instant Porridge,68,5.08,71,400,1.83,2.74,-1.05,0,5/8/2024
Biscuits,50,7.39,52,328,3.79,7.44,0.03,0,5/8/2024
Water,49,6.03,50,407,2.52,5.76,-1.73,0,4/8/2024
Sauces and Soups,56,2.36,58,94,1.29,9.24,-0.03,1,4/8/2024
Instant Porridge,62,2.15,69,166,2.24,5.97,-0.75,1,4/8/2024
Biscuits,52,1.29,57,83,0.97,4.28,0.69,1,4/8/2024
Water,58,17.98,67,318,2.28,9.49,0.76,1,3/8/2024
Sauces and Soups,53,10.31,60,127,1.99,6.81,1.56,1,3/8/2024
Instant Porridge,58,13.59,62,448,1.8,9.46,0.43,0,3/8/2024
Biscuits,45,1.66,51,84,1,2.45,1.93,1,3/8/2024
Water,51,12.61,58,138,4.28,2.18,-1.82,0,2/8/2024
Sauces and Soups,49,4.09,54,252,0.93,3.48,1.57,1,2/8/2024
Instant Porridge,61,13.19,66,225,1.77,2.05,0.16,0,2/8/2024
Biscuits,31,1.84,40,450,2.84,3.19,0.22,0,2/8/2024
Water,44,7.6,52,21,0.67,2.67,-1.43,1,1/8/2024
Sauces and Soups,51,11.97,56,149,2.95,4.48,-1,1,1/8/2024
Instant Porridge,52,3.72,61,396,4.93,7.59,-0.62,1,1/8/2024
Biscuits,47,13.28,53,484,4.94,3.92,1.27,1,1/8/2024
Water,41,3.64,45,339,4.09,3.86,0.94,0,31/7/2024
Sauces and Soups,49,12.72,56,166,2.5,7.45,-1.6,0,31/7/2024
Instant Porridge,48,5.26,49,455,0.81,7.47,1.17,0,31/7/2024
Biscuits,51,8.64,60,182,3.21,2.44,1.14,1,31/7/2024
Water,45,18.52,51,463,3.86,5.86,-1.54,1,30/7/2024
Sauces and Soups,39,14.87,44,314,1.64,3.43,-1.19,0,30/7/2024
Instant Porridge,55,16.26,60,230,4.82,4.26,1.53,0,30/7/2024
Biscuits,41,10.38,46,441,1.33,6.79,0.06,0,30/7/2024
Water,51,14.6,55,14,1.72,6.95,1.61,0,29/7/2024
Sauces and Soups,45,18.52,50,76,2.01,7.94,1.34,0,29/7/2024
Instant Porridge,55,13.59,56,442,4.29,1.6,0.03,1,29/7/2024
Biscuits,34,7.41,39,155,4.55,2.77,1.16,0,29/7/2024
Water,49,4.38,58,378,1.53,9.49,0.22,0,28/7/2024
Sauces and Soups,60,6.35,61,123,2.97,5.82,-1.93,1,28/7/2024
Instant Porridge,55,17.15,60,121,4.36,1.38,1.78,1,28/7/2024
Biscuits,48,13.92,55,460,2.02,6.86,-0.91,1,28/7/2024
Water,46,5.29,53,342,1.92,9.1,0.71,1,27/7/2024
Sauces and Soups,47,9.08,48,406,2.76,4.81,-0.29,0,27/7/2024
Instant Porridge,51,11.57,57,236,1.48,5.53,-1.63,1,27/7/2024
Biscuits,35,7.93,43,296,1.89,1.1,-1.77,1,27/7/2024
Water,49,6.8,58,363,2.35,1.69,1.16,0,26/7/2024
Sauces and Soups,53,10.91,58,11,1.93,9.49,0.78,0,26/7/2024
Instant Porridge,53,19.22,55,96,3.17,2.91,1.96,0,26/7/2024
Biscuits,42,17.01,49,483,2.17,3.2,0.67,1,26/7/2024
Water,49,2.56,53,368,3.69,5.12,0.97,1,25/7/2024
Sauces and Soups,42,14.74,50,13,4.65,9.94,-1.12,0,25/7/2024
Instant Porridge,44,1.35,50,95,2.41,5.52,1.04,1,25/7/2024
Biscuits,47,5.59,53,393,4.96,8.76,-1.04,1,25/7/2024
Water,43,14.42,50,236,4.24,8.45,-0.26,1,24/7/2024
Sauces and Soups,52,14.37,54,131,2.56,6.61,0.29,1,24/7/2024
Instant Porridge,66,9.19,67,411,1.52,8.86,-1.2,1,24/7/2024
Biscuits,48,17.09,53,250,2.77,8.36,-0.16,0,24/7/2024
Water,47,3.52,53,392,1.08,3.12,-0.28,1,23/7/2024
Sauces and Soups,53,8.37,54,323,3.83,4.46,1.49,0,23/7/2024
Instant Porridge,53,7.3,56,104,1.67,9.72,-0.52,1,23/7/2024
Biscuits,48,4.86,48,32,4.13,1.7,-1.32,0,23/7/2024
Water,39,9.82,40,137,4.12,2.52,-0.57,1,22/7/2024
Sauces and Soups,52,7.88,56,298,3.08,4.8,-0.97,1,22/7/2024
Instant Porridge,48,1.93,52,462,3.89,5.82,1.06,0,22/7/2024
Biscuits,65,8.1,72,112,4.14,5.66,-1.04,1,22/7/2024
Water,50,15.28,53,374,1.55,5.1,1.81,0,21/7/2024
Sauces and Soups,61,17.7,64,235,2.91,7.85,0.7,1,21/7/2024
Instant Porridge,60,12.39,60,400,0.96,1.93,-1.73,0,21/7/2024
Biscuits,45,19.74,48,490,0.85,7.79,1.83,1,21/7/2024
Water,56,17.52,65,366,3.83,4.86,0.99,1,20/7/2024
Sauces and Soups,69,12.29,77,196,2.29,5.61,-0.01,1,20/7/2024
Instant Porridge,64,6.58,73,170,2.23,8.61,-1.33,1,20/7/2024
Biscuits,43,12.6,46,18,4.88,7.76,-1.05,1,20/7/2024
Water,54,15.13,57,250,1.62,3.81,0.49,0,19/7/2024
Sauces and Soups,52,15.15,54,349,1.48,1.04,0.23,0,19/7/2024
Instant Porridge,55,19.39,59,33,4.43,8.41,0.87,1,19/7/2024
Biscuits,43,2.46,49,344,4.34,7.03,-1.56,0,19/7/2024
Water,61,9.67,67,276,3.35,5.49,1.49,1,18/7/2024
Sauces and Soups,63,9.97,68,69,2.51,5.14,1.49,0,18/7/2024
Instant Porridge,56,1.58,61,396,1.98,3.05,0.47,1,18/7/2024
Biscuits,52,9.76,61,346,2.16,5.71,-1.77,1,18/7/2024
Water,40,10.34,40,164,4.3,4.06,-0.53,0,17/7/2024
Sauces and Soups,49,4.09,58,226,3.07,5.61,-1.51,1,17/7/2024
Instant Porridge,53,9.1,55,262,2.94,6.87,-1.43,1,17/7/2024
Biscuits,51,8.04,53,300,2.06,8.87,1.53,1,17/7/2024
Water,54,6.98,57,266,2.93,9.55,0.06,1,16/7/2024
Sauces and Soups,40,3.57,45,192,3.53,3.23,1.41,1,16/7/2024
Instant Porridge,46,15.39,51,439,1.41,9.17,0.4,0,16/7/2024
Biscuits,40,1.38,44,127,3.97,6.63,-0.44,0,16/7/2024
Water,41,4.49,48,193,0.92,1.86,1.5,1,15/7/2024
Sauces and Soups,45,7.27,47,492,4.31,9.15,1.98,1,15/7/2024
Instant Porridge,61,11.71,70,248,2.21,3.6,-0.36,0,15/7/2024
Biscuits,58,8.87,58,284,0.81,1.27,0.95,1,15/7/2024
Water,47,13.25,47,486,2.54,4.9,0.84,0,14/7/2024
Sauces and Soups,48,9.9,55,493,4.61,6.32,1.67,0,14/7/2024
Instant Porridge,44,11.07,52,28,3.31,3.09,-0.67,1,14/7/2024
Biscuits,49,19.11,52,426,1.7,8.67,0.54,1,14/7/2024
Water,42,18.82,42,187,1.16,9.72,0.22,1,13/7/2024
Sauces and Soups,49,14.67,53,176,3.6,7.72,-0.72,1,13/7/2024
Instant Porridge,43,7.53,52,185,1.82,1.28,-0.12,1,13/7/2024
Biscuits,47,3.01,55,140,1.99,6.87,-0.19,1,13/7/2024
Water,49,14.14,53,106,2.26,7.99,0.05,0,12/7/2024
Sauces and Soups,51,19.09,55,490,3.04,9.35,1.12,1,12/7/2024
Instant Porridge,45,8.36,46,493,4.84,1.71,1.92,1,12/7/2024
Biscuits,38,2.56,41,181,2.61,2.1,-0.29,1,12/7/2024
Water,49,4.23,51,138,3.21,6.02,-0.54,0,11/7/2024
Sauces and Soups,44,9.81,52,340,1.39,7.06,1.28,1,11/7/2024
Instant Porridge,37,9.02,39,81,0.9,2.61,-1.08,0,11/7/2024
Biscuits,35,5.8,37,287,2.05,8.87,-1.37,1,11/7/2024
Water,47,16.69,50,201,3.9,5.1,-0.58,1,10/7/2024
Sauces and Soups,41,12.21,43,31,2.49,1.76,0.03,1,10/7/2024
Instant Porridge,40,9.06,47,81,1.09,6.39,-1.81,0,10/7/2024
Biscuits,44,7.17,53,199,1.47,8.12,-1.7,0,10/7/2024
Water,51,5.86,51,475,0.56,8.49,-1.21,1,9/7/2024
Sauces and Soups,43,4.84,49,136,1.23,8.85,0.81,0,9/7/2024
Instant Porridge,41,1.53,45,227,0.95,7.6,-0.32,1,9/7/2024
Biscuits,40,18.96,48,288,2.12,1.57,0.77,0,9/7/2024
Water,46,17.81,50,297,4.95,6.73,1.07,0,8/7/2024
Sauces and Soups,62,11.32,70,165,3.6,7,0.14,1,8/7/2024
Instant Porridge,62,1.24,62,266,1.51,1.28,-0.84,0,8/7/2024
Biscuits,51,3.47,59,358,1.45,7.48,1.95,0,8/7/2024
Water,53,18.59,61,493,2.47,3.13,-1.92,1,7/7/2024
Sauces and Soups,54,2.21,56,266,1.26,5.79,-0.7,0,7/7/2024
Instant Porridge,46,15.78,55,261,2.5,8.56,-0.58,1,7/7/2024
Biscuits,54,3.67,57,487,1.37,2.42,1.44,1,7/7/2024
Water,64,14.04,72,64,2.48,8.38,-0.87,0,6/7/2024
Sauces and Soups,58,9.01,64,468,3.31,6.48,-1.97,1,6/7/2024
Instant Porridge,50,15.13,50,303,2.4,7.9,-1.19,1,6/7/2024
Biscuits,56,6.27,65,366,4.24,1.56,1.1,1,6/7/2024
Water,47,4.01,47,150,2.69,6.27,-0.92,1,5/7/2024
Sauces and Soups,53,19.05,61,190,4.01,7.22,-0.66,0,5/7/2024
Instant Porridge,56,8.71,62,209,3.7,3.83,-0.04,0,5/7/2024
Biscuits,47,2.02,50,494,2.66,3.13,0.06,0,5/7/2024
Water,55,6.81,56,435,4.34,5.47,1.55,0,4/7/2024
Sauces and Soups,52,14.4,56,2,0.77,9.95,-0.29,1,4/7/2024
Instant Porridge,61,16.53,64,36,4.04,3.74,-0.09,0,4/7/2024
Biscuits,56,5.98,61,43,3.75,6.67,0.75,1,4/7/2024
Water,49,10.49,58,137,4.76,7.87,-1.49,0,3/7/2024
Sauces and Soups,45,15.14,45,112,4.34,2.16,1.3,1,3/7/2024
Instant Porridge,64,7.48,70,417,1.65,4.79,0.18,1,3/7/2024
Biscuits,66,10.49,67,25,1.87,4.85,-1.92,0,3/7/2024
Water,39,11.23,43,371,0.73,5.35,1.2,0,2/7/2024
Sauces and Soups,50,2.92,52,69,4.24,7.87,-0.7,0,2/7/2024
Instant Porridge,52,18.5,58,451,2.25,9.1,-0.13,0,2/7/2024
Biscuits,50,14.03,59,288,4.68,5.19,0.29,0,2/7/2024
Water,46,8.35,55,474,3.13,7.13,0.87,0,1/7/2024
Sauces and Soups,51,10.16,53,444,1.61,8.23,-0.36,1,1/7/2024
